dataset,frame,pred_class,conf,tip_x,tip_y,gt_x,gt_y,gt_instrument,err_px,depth_mm,err_mm
1,frame191,Prograsp_Forceps_Left,0.429,652.6,591.3,743.0,576.6,Left_Prograsp_Forceps_labels,91.60,66.4,5.40
1,frame192,Prograsp_Forceps_Right,0.902,1227.5,309.1,1154.1,425.7,Right_Prograsp_Forceps_labels,137.79,,
1,frame193,Prograsp_Forceps_Left,0.718,944.7,603.8,897.7,609.3,Left_Prograsp_Forceps_labels,47.33,73.1,3.07
1,frame194,Prograsp_Forceps_Left,0.818,949.0,599.1,901.9,607.2,Left_Prograsp_Forceps_labels,47.84,73.2,3.11
1,frame195,Prograsp_Forceps_Left,0.472,948.5,599.3,896.8,612.5,Left_Prograsp_Forceps_labels,53.35,73.5,3.48
1,frame196,Prograsp_Forceps_Left,0.326,942.0,608.4,884.7,614.0,Left_Prograsp_Forceps_labels,57.59,81.1,4.15
1,frame197,Prograsp_Forceps_Left,0.493,805.4,462.0,712.5,490.1,Left_Prograsp_Forceps_labels,97.12,56.2,4.85
1,frame197,Prograsp_Forceps_Right,0.474,1396.9,405.8,1485.2,391.8,Right_Prograsp_Forceps_labels,89.34,62.4,4.95
1,frame202,Prograsp_Forceps_Left,0.639,716.2,598.9,610.2,629.0,Left_Prograsp_Forceps_labels,110.21,72.9,7.14
1,frame203,Prograsp_Forceps_Left,0.371,774.7,616.5,652.6,643.6,Left_Prograsp_Forceps_labels,125.10,66.8,7.42
1,frame205,Prograsp_Forceps_Left,0.580,766.7,611.3,656.6,640.7,Left_Prograsp_Forceps_labels,113.93,74.5,7.54
1,frame206,Prograsp_Forceps_Left,0.415,766.8,609.3,656.5,643.2,Left_Prograsp_Forceps_labels,115.36,67.9,6.96
1,frame207,Prograsp_Forceps_Left,0.488,708.0,589.2,592.5,626.3,Left_Prograsp_Forceps_labels,121.36,69.0,7.44
1,frame207,Prograsp_Forceps_Right,0.289,1544.0,403.6,1566.3,416.8,Right_Prograsp_Forceps_labels,25.88,50.7,1.17
1,frame208,Prograsp_Forceps_Right,0.825,1434.2,449.3,1518.9,479.3,Right_Prograsp_Forceps_labels,89.82,64.1,5.12
1,frame208,Prograsp_Forceps_Left,0.685,705.7,565.6,592.4,604.6,Left_Prograsp_Forceps_labels,119.79,72.1,7.68
1,frame209,Prograsp_Forceps_Right,0.760,1413.8,404.4,1513.9,440.7,Right_Prograsp_Forceps_labels,106.47,57.8,5.47
1,frame209,Prograsp_Forceps_Left,0.378,710.8,574.4,604.8,608.8,Left_Prograsp_Forceps_labels,111.45,71.6,7.09
1,frame210,Prograsp_Forceps_Left,0.720,902.0,580.3,825.5,606.8,Left_Prograsp_Forceps_labels,80.96,74.3,5.34
1,frame212,Prograsp_Forceps_Right,0.872,1047.5,369.7,1038.5,503.5,Right_Prograsp_Forceps_labels,134.11,101.0,12.03
1,frame212,Prograsp_Forceps_Right,0.718,1034.7,528.1,1038.5,503.5,Right_Prograsp_Forceps_labels,24.81,84.8,1.87
1,frame212,Prograsp_Forceps_Left,0.709,639.4,614.4,544.4,644.1,Left_Prograsp_Forceps_labels,99.54,79.6,7.04
1,frame213,Prograsp_Forceps_Left,0.783,679.4,625.8,601.8,653.0,Left_Prograsp_Forceps_labels,82.22,77.7,5.67
1,frame216,Prograsp_Forceps_Left,0.635,715.8,599.2,616.1,627.1,Left_Prograsp_Forceps_labels,103.55,88.2,8.12
1,frame217,Prograsp_Forceps_Left,0.730,705.3,573.2,618.1,600.3,Left_Prograsp_Forceps_labels,91.27,73.6,5.97
1,frame218,Prograsp_Forceps_Right,0.384,1534.8,567.3,1567.0,610.4,Right_Prograsp_Forceps_labels,53.78,75.3,3.60
1,frame218,Prograsp_Forceps_Right,0.326,1537.8,554.4,1567.0,610.4,Right_Prograsp_Forceps_labels,63.15,,
1,frame219,Prograsp_Forceps_Left,0.540,742.9,558.6,649.1,563.9,Left_Prograsp_Forceps_labels,94.00,78.7,6.57
2,frame177,Prograsp_Forceps_Right,0.901,1379.2,529.4,1479.1,570.5,Right_Prograsp_Forceps_labels,108.10,50.8,4.87
2,frame179,Prograsp_Forceps_Left,0.683,853.8,676.9,966.8,682.7,Left_Prograsp_Forceps_labels,113.11,50.8,5.09
2,frame180,Prograsp_Forceps_Left,0.646,950.9,893.0,979.3,905.4,Left_Prograsp_Forceps_labels,30.96,51.5,1.41
2,frame181,Prograsp_Forceps_Left,0.431,936.4,924.5,1017.9,937.4,Left_Prograsp_Forceps_labels,82.47,55.0,4.02
2,frame182,Prograsp_Forceps_Left,0.897,973.3,837.1,1017.7,846.7,Left_Prograsp_Forceps_labels,45.40,,
2,frame183,Prograsp_Forceps_Left,0.411,937.1,671.7,1013.6,670.4,Left_Prograsp_Forceps_labels,76.48,,
2,frame187,Prograsp_Forceps_Left,0.926,1160.0,340.1,1010.6,350.4,Left_Prograsp_Forceps_labels,149.77,63.5,8.43
2,frame188,Prograsp_Forceps_Left,0.927,1130.1,310.3,989.5,314.9,Left_Prograsp_Forceps_labels,140.67,55.0,6.85
2,frame190,Prograsp_Forceps_Left,0.940,1121.5,425.0,978.5,457.9,Left_Prograsp_Forceps_labels,146.76,65.3,8.50
2,frame193,Prograsp_Forceps_Left,0.932,1089.5,617.8,946.9,660.3,Left_Prograsp_Forceps_labels,148.79,62.0,8.18
2,frame194,Prograsp_Forceps_Left,0.851,925.2,773.9,918.7,787.4,Left_Prograsp_Forceps_labels,15.00,53.5,0.71
2,frame195,Prograsp_Forceps_Left,0.848,926.4,770.0,928.4,783.0,Left_Prograsp_Forceps_labels,13.16,50.8,0.59
2,frame197,Prograsp_Forceps_Left,0.809,590.4,562.9,463.9,604.4,Left_Prograsp_Forceps_labels,133.11,76.6,9.03
2,frame198,Prograsp_Forceps_Right,0.912,1361.7,634.0,1474.8,651.9,Right_Prograsp_Forceps_labels,114.45,,
2,frame199,Prograsp_Forceps_Left,0.899,1255.3,388.6,1158.0,378.8,Left_Prograsp_Forceps_labels,97.88,78.1,6.77
2,frame199,Prograsp_Forceps_Right,0.873,1499.1,582.0,1545.2,600.7,Right_Prograsp_Forceps_labels,49.74,74.6,3.29
2,frame200,Prograsp_Forceps_Left,0.929,1237.6,393.6,1141.4,385.9,Left_Prograsp_Forceps_labels,96.57,72.9,6.24
2,frame200,Prograsp_Forceps_Right,0.894,1442.3,583.2,1513.7,603.2,Right_Prograsp_Forceps_labels,74.22,67.8,4.46
2,frame201,Prograsp_Forceps_Right,0.892,1345.0,572.4,1468.0,568.4,Right_Prograsp_Forceps_labels,123.15,,
2,frame202,Prograsp_Forceps_Right,0.931,1320.0,597.1,1455.5,597.8,Right_Prograsp_Forceps_labels,135.54,,
2,frame203,Prograsp_Forceps_Right,0.942,1321.4,592.5,1457.3,592.0,Right_Prograsp_Forceps_labels,135.95,,
2,frame204,Prograsp_Forceps_Right,0.943,1319.7,537.0,1455.8,537.6,Right_Prograsp_Forceps_labels,136.14,,
2,frame205,Prograsp_Forceps_Right,0.947,1333.0,510.9,1463.2,509.2,Right_Prograsp_Forceps_labels,130.23,54.6,6.30
2,frame206,Prograsp_Forceps_Right,0.942,1332.5,509.9,1461.3,508.6,Right_Prograsp_Forceps_labels,128.74,54.7,6.24
2,frame207,Prograsp_Forceps_Right,0.939,1331.6,510.1,1460.8,505.5,Right_Prograsp_Forceps_labels,129.28,54.1,6.19
2,frame208,Prograsp_Forceps_Right,0.928,1331.8,509.2,1460.7,506.7,Right_Prograsp_Forceps_labels,128.92,,
2,frame209,Prograsp_Forceps_Right,0.937,1334.8,511.2,1463.8,505.8,Right_Prograsp_Forceps_labels,129.16,,
2,frame210,Prograsp_Forceps_Right,0.943,1336.5,512.0,1465.4,504.9,Right_Prograsp_Forceps_labels,129.13,,
2,frame211,Prograsp_Forceps_Right,0.944,1336.4,513.1,1465.4,505.9,Right_Prograsp_Forceps_labels,129.18,55.1,6.31
2,frame212,Prograsp_Forceps_Right,0.946,1332.9,512.9,1463.8,507.7,Right_Prograsp_Forceps_labels,131.01,,
2,frame213,Prograsp_Forceps_Right,0.941,1332.6,510.4,1462.4,508.2,Right_Prograsp_Forceps_labels,129.79,54.8,6.30
2,frame214,Prograsp_Forceps_Right,0.939,1332.5,509.2,1461.6,507.3,Right_Prograsp_Forceps_labels,129.11,54.2,6.21
2,frame215,Prograsp_Forceps_Right,0.933,1324.8,509.4,1460.8,507.8,Right_Prograsp_Forceps_labels,136.03,,
2,frame216,Prograsp_Forceps_Right,0.943,1331.9,506.7,1460.5,503.8,Right_Prograsp_Forceps_labels,128.63,59.9,6.83
2,frame217,Prograsp_Forceps_Right,0.932,1343.3,503.9,1466.2,501.6,Right_Prograsp_Forceps_labels,122.90,,
2,frame218,Prograsp_Forceps_Right,0.936,1344.7,498.6,1468.8,496.4,Right_Prograsp_Forceps_labels,124.14,,
2,frame219,Prograsp_Forceps_Right,0.934,1343.8,500.3,1467.9,498.4,Right_Prograsp_Forceps_labels,124.14,54.1,5.96
2,frame220,Prograsp_Forceps_Right,0.937,1342.4,501.7,1464.2,498.8,Right_Prograsp_Forceps_labels,121.84,,
2,frame221,Prograsp_Forceps_Right,0.937,1332.3,503.6,1461.2,502.9,Right_Prograsp_Forceps_labels,128.99,,
2,frame221,Prograsp_Forceps_Left,0.815,500.7,499.3,414.5,520.2,Left_Prograsp_Forceps_labels,88.65,70.7,5.56
2,frame221,Prograsp_Forceps_Right,0.270,512.7,532.2,414.5,520.2,Left_Prograsp_Forceps_labels,98.95,54.8,4.81
2,frame222,Prograsp_Forceps_Right,0.942,1332.9,502.3,1462.7,500.1,Right_Prograsp_Forceps_labels,129.84,,
2,frame223,Prograsp_Forceps_Right,0.925,1344.0,496.3,1468.2,492.1,Right_Prograsp_Forceps_labels,124.35,,
2,frame224,Prograsp_Forceps_Right,0.914,1365.2,491.5,1477.0,487.1,Right_Prograsp_Forceps_labels,111.87,,
3,frame169,Large_Needle_Driver_Right,0.968,1017.7,629.8,1061.2,619.2,Right_Large_Needle_Driver_labels,44.79,,
3,frame169,Large_Needle_Driver_Left,0.960,778.1,450.7,714.1,458.0,Left_Large_Needle_Driver_labels,64.38,,
3,frame170,Large_Needle_Driver_Left,0.919,622.5,306.5,535.5,312.4,Left_Large_Needle_Driver_labels,87.18,,
3,frame171,Large_Needle_Driver_Right,0.959,1049.9,493.1,1005.7,482.0,Right_Large_Needle_Driver_labels,45.61,67.0,2.68
3,frame171,Large_Needle_Driver_Left,0.478,970.9,459.2,1005.7,482.0,Right_Large_Needle_Driver_labels,41.58,,
3,frame171,Large_Needle_Driver_Right,0.309,496.8,544.8,411.3,543.8,Left_Large_Needle_Driver_labels,85.53,,
3,frame172,Large_Needle_Driver_Right,0.886,963.1,579.2,987.7,557.2,Right_Large_Needle_Driver_labels,32.98,,
3,frame172,Large_Needle_Driver_Left,0.843,514.8,420.7,408.5,425.8,Left_Large_Needle_Driver_labels,106.35,,
3,frame173,Large_Needle_Driver_Right,0.971,991.3,348.2,963.9,340.1,Right_Large_Needle_Driver_labels,28.55,,
3,frame173,Large_Needle_Driver_Left,0.793,493.6,430.0,406.8,434.7,Left_Large_Needle_Driver_labels,86.87,,
3,frame174,Large_Needle_Driver_Left,0.551,710.8,388.1,646.5,405.4,Left_Large_Needle_Driver_labels,66.68,,
3,frame174,Large_Needle_Driver_Left,0.487,717.9,504.8,646.5,405.4,Left_Large_Needle_Driver_labels,122.35,54.8,5.89
3,frame175,Large_Needle_Driver_Right,0.965,980.0,543.3,1045.4,543.5,Right_Large_Needle_Driver_labels,65.47,,
3,frame175,Large_Needle_Driver_Left,0.934,660.4,396.5,583.1,410.2,Left_Large_Needle_Driver_labels,78.51,,
3,frame176,Large_Needle_Driver_Right,0.967,987.6,493.7,1009.1,493.3,Right_Large_Needle_Driver_labels,21.46,72.8,1.37
3,frame176,Large_Needle_Driver_Left,0.944,852.2,397.2,804.9,399.5,Left_Large_Needle_Driver_labels,47.31,52.4,2.17
3,frame177,Large_Needle_Driver_Right,0.972,982.1,381.4,1048.3,368.0,Right_Large_Needle_Driver_labels,67.53,,
3,frame177,Large_Needle_Driver_Left,0.952,714.0,472.6,828.7,493.3,Left_Large_Needle_Driver_labels,116.56,,
3,frame177,Large_Needle_Driver_Left,0.787,931.0,504.9,828.7,493.3,Left_Large_Needle_Driver_labels,102.91,,
3,frame178,Large_Needle_Driver_Right,0.968,1219.5,629.4,1326.8,617.6,Right_Large_Needle_Driver_labels,107.89,,
3,frame178,Large_Needle_Driver_Left,0.932,634.8,344.2,528.4,333.9,Left_Large_Needle_Driver_labels,106.92,,
3,frame179,Large_Needle_Driver_Right,0.965,1169.1,346.4,1289.9,336.6,Right_Large_Needle_Driver_labels,121.19,53.7,5.70
3,frame179,Large_Needle_Driver_Left,0.956,724.0,401.9,656.2,391.7,Left_Large_Needle_Driver_labels,68.56,,
3,frame180,Large_Needle_Driver_Right,0.971,1035.7,351.7,1144.9,318.2,Right_Large_Needle_Driver_labels,114.25,52.8,5.29
3,frame180,Large_Needle_Driver_Left,0.952,822.3,458.8,826.4,466.2,Left_Large_Needle_Driver_labels,8.49,,
3,frame181,Large_Needle_Driver_Right,0.968,992.6,409.3,986.2,408.9,Right_Large_Needle_Driver_labels,6.37,,
3,frame181,Large_Needle_Driver_Left,0.954,753.2,414.9,807.3,410.9,Left_Large_Needle_Driver_labels,54.24,,
3,frame182,Large_Needle_Driver_Right,0.968,971.4,389.8,955.2,386.7,Right_Large_Needle_Driver_labels,16.59,,
3,frame182,Large_Needle_Driver_Left,0.941,728.7,403.5,784.4,385.0,Left_Large_Needle_Driver_labels,58.73,112.5,5.79
3,frame183,Large_Needle_Driver_Right,0.972,1065.7,428.7,1102.9,418.7,Right_Large_Needle_Driver_labels,38.54,,
3,frame183,Large_Needle_Driver_Left,0.966,753.4,431.2,796.4,427.8,Left_Large_Needle_Driver_labels,43.08,,
3,frame184,Large_Needle_Driver_Right,0.939,895.3,419.4,928.4,412.7,Right_Large_Needle_Driver_labels,33.80,72.1,2.14
3,frame184,Large_Needle_Driver_Left,0.935,791.9,432.8,775.7,443.6,Left_Large_Needle_Driver_labels,19.50,,
3,frame185,Large_Needle_Driver_Right,0.968,981.6,405.5,1001.2,399.5,Right_Large_Needle_Driver_labels,20.45,,
3,frame185,Large_Needle_Driver_Left,0.948,830.6,479.0,774.6,482.2,Left_Large_Needle_Driver_labels,56.08,,
3,frame186,Large_Needle_Driver_Right,0.969,950.2,434.3,954.6,433.4,Right_Large_Needle_Driver_labels,4.56,,
3,frame186,Large_Needle_Driver_Left,0.956,778.6,461.8,735.8,461.1,Left_Large_Needle_Driver_labels,42.83,,
3,frame187,Large_Needle_Driver_Right,0.975,982.7,428.7,999.9,415.5,Right_Large_Needle_Driver_labels,21.74,,
3,frame187,Large_Needle_Driver_Left,0.941,819.1,500.1,792.8,510.9,Left_Large_Needle_Driver_labels,28.39,52.4,1.30
3,frame188,Large_Needle_Driver_Right,0.972,948.2,227.4,952.9,204.7,Right_Large_Needle_Driver_labels,23.17,,
3,frame188,Large_Needle_Driver_Left,0.954,866.0,619.0,832.1,626.4,Left_Large_Needle_Driver_labels,34.68,,
3,frame189,Large_Needle_Driver_Right,0.963,906.6,192.7,907.8,165.7,Right_Large_Needle_Driver_labels,27.05,52.4,1.24
3,frame189,Large_Needle_Driver_Left,0.953,864.1,674.3,837.6,685.3,Left_Large_Needle_Driver_labels,28.67,,
3,frame190,Large_Needle_Driver_Right,0.963,901.7,163.3,921.5,142.2,Right_Large_Needle_Driver_labels,28.90,54.1,1.37
3,frame190,Large_Needle_Driver_Left,0.952,870.0,662.6,835.6,676.5,Left_Large_Needle_Driver_labels,37.10,,
3,frame191,Large_Needle_Driver_Right,0.970,1002.0,486.3,1099.5,463.2,Right_Large_Needle_Driver_labels,100.16,,
3,frame191,Large_Needle_Driver_Left,0.961,725.8,500.6,784.3,491.2,Left_Large_Needle_Driver_labels,59.21,,
3,frame192,Large_Needle_Driver_Right,0.970,1025.7,430.9,1075.0,414.3,Right_Large_Needle_Driver_labels,52.03,,
3,frame192,Large_Needle_Driver_Left,0.955,827.6,646.4,818.9,661.8,Left_Large_Needle_Driver_labels,17.75,52.4,0.82
3,frame193,Large_Needle_Driver_Right,0.969,1017.3,576.1,1082.4,567.2,Right_Large_Needle_Driver_labels,65.65,,
3,frame193,Large_Needle_Driver_Left,0.957,824.3,675.1,813.2,694.0,Left_Large_Needle_Driver_labels,21.92,55.0,1.06
3,frame194,Large_Needle_Driver_Right,0.969,1034.6,575.5,1102.3,564.2,Right_Large_Needle_Driver_labels,68.64,,
3,frame194,Large_Needle_Driver_Left,0.963,751.0,520.0,725.7,523.6,Left_Large_Needle_Driver_labels,25.52,53.5,1.20
3,frame195,Large_Needle_Driver_Right,0.965,1005.4,533.3,1056.4,521.9,Right_Large_Needle_Driver_labels,52.26,,
3,frame195,Large_Needle_Driver_Left,0.957,801.4,628.6,788.1,644.2,Left_Large_Needle_Driver_labels,20.48,52.7,0.95
3,frame196,Large_Needle_Driver_Right,0.967,1021.7,538.2,1076.9,525.8,Right_Large_Needle_Driver_labels,56.57,,
3,frame196,Large_Needle_Driver_Left,0.949,814.9,682.3,758.3,680.2,Left_Large_Needle_Driver_labels,56.61,56.6,2.81
3,frame197,Large_Needle_Driver_Right,0.965,1036.7,711.9,1111.6,701.1,Right_Large_Needle_Driver_labels,75.64,,
3,frame197,Large_Needle_Driver_Left,0.949,791.2,388.8,770.6,390.2,Left_Large_Needle_Driver_labels,20.66,,
3,frame198,Large_Needle_Driver_Right,0.972,1124.2,986.1,1214.7,989.4,Right_Large_Needle_Driver_labels,90.50,,
3,frame198,Large_Needle_Driver_Left,0.947,791.0,414.3,777.0,411.6,Left_Large_Needle_Driver_labels,14.30,,
3,frame199,Large_Needle_Driver_Right,0.958,1224.3,965.5,1219.0,1013.5,Right_Large_Needle_Driver_labels,48.30,,
3,frame199,Large_Needle_Driver_Left,0.954,787.2,424.9,770.1,424.6,Left_Large_Needle_Driver_labels,17.13,,
3,frame200,Large_Needle_Driver_Left,0.968,778.4,484.1,836.8,491.8,Left_Large_Needle_Driver_labels,58.91,,
3,frame200,Large_Needle_Driver_Right,0.964,1004.4,572.8,1107.3,542.4,Right_Large_Needle_Driver_labels,107.37,,
3,frame201,Large_Needle_Driver_Right,0.969,991.4,458.0,1003.1,449.5,Right_Large_Needle_Driver_labels,14.49,,
3,frame201,Large_Needle_Driver_Left,0.931,736.7,448.7,759.9,450.1,Left_Large_Needle_Driver_labels,23.22,,
3,frame202,Large_Needle_Driver_Right,0.977,1002.2,428.3,1011.8,417.5,Right_Large_Needle_Driver_labels,14.46,,
3,frame202,Large_Needle_Driver_Left,0.951,734.0,495.4,777.8,490.5,Left_Large_Needle_Driver_labels,43.98,,
3,frame203,Large_Needle_Driver_Right,0.967,1065.7,449.7,1097.4,431.9,Right_Large_Needle_Driver_labels,36.32,52.4,1.67
3,frame203,Large_Needle_Driver_Left,0.916,685.6,379.6,728.3,360.8,Left_Large_Needle_Driver_labels,46.71,95.7,3.92
3,frame204,Large_Needle_Driver_Right,0.969,1055.0,438.5,1090.5,418.0,Right_Large_Needle_Driver_labels,41.00,,
3,frame204,Large_Needle_Driver_Left,0.922,777.4,373.5,745.8,379.9,Left_Large_Needle_Driver_labels,32.19,,
3,frame205,Large_Needle_Driver_Right,0.969,983.7,443.2,975.7,443.2,Right_Large_Needle_Driver_labels,7.99,,
3,frame205,Large_Needle_Driver_Left,0.953,804.6,438.6,744.1,452.9,Left_Large_Needle_Driver_labels,62.18,68.5,3.73
3,frame206,Large_Needle_Driver_Right,0.971,959.5,445.4,952.0,445.8,Right_Large_Needle_Driver_labels,7.52,63.5,0.42
3,frame206,Large_Needle_Driver_Left,0.954,738.4,459.5,800.8,448.4,Left_Large_Needle_Driver_labels,63.29,,
3,frame207,Large_Needle_Driver_Right,0.970,963.5,447.3,959.0,447.5,Right_Large_Needle_Driver_labels,4.58,,
3,frame207,Large_Needle_Driver_Left,0.961,751.1,438.3,789.6,435.8,Left_Large_Needle_Driver_labels,38.62,,
3,frame208,Large_Needle_Driver_Right,0.975,998.2,393.6,987.0,389.1,Right_Large_Needle_Driver_labels,12.11,,
3,frame208,Large_Needle_Driver_Left,0.948,744.8,478.2,706.4,490.1,Left_Large_Needle_Driver_labels,40.21,,
3,frame209,Large_Needle_Driver_Left,0.958,766.8,495.1,729.8,511.5,Left_Large_Needle_Driver_labels,40.41,,
3,frame210,Large_Needle_Driver_Left,0.961,798.3,404.7,796.3,397.1,Left_Large_Needle_Driver_labels,7.84,52.4,0.36
3,frame210,Large_Needle_Driver_Right,0.960,1213.4,394.5,1353.7,368.6,Right_Large_Needle_Driver_labels,142.75,55.7,6.98
3,frame211,Large_Needle_Driver_Left,0.948,785.9,400.6,746.8,405.4,Left_Large_Needle_Driver_labels,39.37,,
3,frame212,Large_Needle_Driver_Left,0.947,804.1,373.4,751.8,377.1,Left_Large_Needle_Driver_labels,52.45,,
3,frame212,Large_Needle_Driver_Right,0.912,1193.5,612.6,1298.7,571.8,Right_Large_Needle_Driver_labels,112.81,,
3,frame213,Large_Needle_Driver_Right,0.974,989.9,427.3,974.5,437.8,Right_Large_Needle_Driver_labels,18.62,,
3,frame213,Large_Needle_Driver_Left,0.957,742.5,474.2,734.2,481.0,Left_Large_Needle_Driver_labels,10.71,52.4,0.49
3,frame214,Large_Needle_Driver_Right,0.972,959.0,312.1,967.8,301.5,Right_Large_Needle_Driver_labels,13.75,,
3,frame214,Large_Needle_Driver_Left,0.941,772.2,365.3,769.8,367.6,Left_Large_Needle_Driver_labels,3.36,,
3,frame215,Large_Needle_Driver_Left,0.946,740.7,373.0,672.2,385.0,Left_Large_Needle_Driver_labels,69.59,,
3,frame215,Large_Needle_Driver_Right,0.865,1305.3,729.0,1436.4,720.9,Right_Large_Needle_Driver_labels,131.41,,
3,frame216,Large_Needle_Driver_Right,0.969,987.8,402.0,950.4,433.5,Right_Large_Needle_Driver_labels,48.89,,
3,frame216,Large_Needle_Driver_Left,0.942,683.7,365.7,754.3,348.2,Left_Large_Needle_Driver_labels,72.75,,
3,frame217,Large_Needle_Driver_Right,0.973,942.0,362.1,940.3,359.5,Right_Large_Needle_Driver_labels,3.13,52.9,0.15
3,frame217,Large_Needle_Driver_Left,0.948,740.9,440.7,754.8,434.8,Left_Large_Needle_Driver_labels,15.15,127.6,1.70
3,frame218,Large_Needle_Driver_Right,0.973,955.8,378.0,941.3,379.2,Right_Large_Needle_Driver_labels,14.55,52.4,0.67
3,frame218,Large_Needle_Driver_Left,0.944,725.2,442.5,781.1,431.7,Left_Large_Needle_Driver_labels,56.97,,
3,frame219,Large_Needle_Driver_Right,0.970,917.6,391.0,898.2,381.1,Right_Large_Needle_Driver_labels,21.83,,
3,frame219,Large_Needle_Driver_Left,0.924,663.5,393.7,712.5,383.5,Left_Large_Needle_Driver_labels,49.99,143.2,6.28
3,frame220,Large_Needle_Driver_Right,0.969,1083.0,373.5,1117.1,347.6,Right_Large_Needle_Driver_labels,42.89,,
3,frame220,Large_Needle_Driver_Left,0.951,723.1,415.7,722.1,415.8,Left_Large_Needle_Driver_labels,0.97,54.2,0.05
3,frame221,Large_Needle_Driver_Right,0.960,1074.8,367.6,1121.9,328.9,Right_Large_Needle_Driver_labels,60.96,,
3,frame221,Large_Needle_Driver_Left,0.950,839.1,661.0,800.9,667.2,Left_Large_Needle_Driver_labels,38.75,,
3,frame222,Large_Needle_Driver_Right,0.972,988.1,308.1,973.9,289.1,Right_Large_Needle_Driver_labels,23.72,,
3,frame222,Large_Needle_Driver_Left,0.960,867.4,735.3,834.3,748.8,Left_Large_Needle_Driver_labels,35.78,,
3,frame223,Large_Needle_Driver_Left,0.953,857.9,775.8,840.4,793.5,Left_Large_Needle_Driver_labels,24.96,,
