t,track_id,class_name,tip_x_mm,tip_y_mm,tip_z_mm,n_neighbours,plane_rms_mm,clearance_mm
1787165459.852,77,Monopolar_Curved_Scissors,89.95,-3.78,12.32,929,3.83,2.00
1787165459.852,80,Bipolar_Forceps,84.53,18.49,4.92,1234,3.15,4.64
1787165459.977,77,Monopolar_Curved_Scissors,86.87,-5.66,10.88,968,3.55,5.83
1787165459.977,80,Bipolar_Forceps,82.70,18.98,5.02,1144,2.92,4.81
1787165460.077,77,Monopolar_Curved_Scissors,86.14,-7.23,9.40,1177,3.77,1.78
1787165460.077,78,UNKNOWN,140.62,-5.06,16.56,71,1.96,-14.48
1787165460.077,80,Bipolar_Forceps,82.03,18.65,5.26,1322,3.18,6.72
1787165460.189,77,Monopolar_Curved_Scissors,85.68,-8.40,7.90,1096,5.51,-3.08
1787165460.189,78,UNKNOWN,140.54,6.09,14.72,188,2.93,5.97
1787165460.189,80,Bipolar_Forceps,79.11,18.72,5.01,1050,2.67,9.18
1787165460.297,77,Monopolar_Curved_Scissors,85.29,-8.65,6.98,876,3.39,2.38
1787165460.297,80,Bipolar_Forceps,76.51,18.79,4.79,491,2.57,10.33
1787165460.401,77,Monopolar_Curved_Scissors,83.56,-8.54,9.47,904,3.84,3.21
1787165460.401,80,Bipolar_Forceps,73.71,18.85,4.55,311,2.46,12.06
1787165460.490,77,Monopolar_Curved_Scissors,83.27,-9.70,12.16,358,2.91,7.79
1787165460.490,80,Bipolar_Forceps,71.32,18.91,4.34,393,2.16,15.58
1787165460.600,77,Monopolar_Curved_Scissors,87.95,-10.72,14.95,535,3.44,-1.39
1787165460.600,80,Bipolar_Forceps,68.66,18.98,4.11,266,1.60,16.76
1787165460.725,77,Monopolar_Curved_Scissors,82.18,-11.83,13.20,87,1.52,9.95
1787165460.725,80,Bipolar_Forceps,65.67,19.05,3.86,106,3.30,0.25
1787165460.845,77,Monopolar_Curved_Scissors,86.63,-12.22,14.18,597,3.92,1.49
1787165460.845,80,Bipolar_Forceps,62.45,19.13,3.58,618,2.61,2.28
1787165460.942,77,Monopolar_Curved_Scissors,91.61,-13.20,16.21,501,4.04,-3.01
1787165460.942,80,Bipolar_Forceps,60.08,19.19,3.38,821,2.64,2.58
1787165461.050,77,Monopolar_Curved_Scissors,94.17,-14.75,14.88,35,0.94,8.79
1787165461.050,80,Bipolar_Forceps,57.17,19.27,3.13,2199,5.33,2.42
1787165461.270,82,Monopolar_Curved_Scissors,95.81,-14.55,12.15,104,1.96,-15.62
1787165461.406,82,Monopolar_Curved_Scissors,95.81,-14.55,11.47,58,1.86,-7.59
1787165461.518,82,Monopolar_Curved_Scissors,95.81,-15.54,10.96,97,1.38,-15.12
1787165461.652,81,Large_Needle_Driver_Left,140.32,-2.12,43.52,37,2.25,-14.10
1787165461.652,82,Monopolar_Curved_Scissors,95.81,-8.84,5.45,25,0.46,-14.23
1787165461.753,81,Large_Needle_Driver_Left,140.32,-2.23,43.34,341,3.39,2.97
1787165461.753,82,Monopolar_Curved_Scissors,95.81,-7.50,4.18,52,1.81,12.41
1787165461.850,81,Large_Needle_Driver_Left,140.32,-2.33,43.18,308,3.36,1.62
1787165461.850,82,Monopolar_Curved_Scissors,95.81,-4.45,3.69,49,0.65,-18.13
1787165461.955,81,Large_Needle_Driver_Left,140.32,-2.44,42.99,318,2.86,2.41
1787165461.955,82,Monopolar_Curved_Scissors,95.81,-6.92,4.33,70,2.08,13.23
1787165462.060,81,Large_Needle_Driver_Left,140.32,-2.55,42.82,355,3.49,2.17
1787165462.165,81,Large_Needle_Driver_Left,140.32,-2.66,42.64,439,3.30,4.98
1787165462.267,81,Large_Needle_Driver_Left,140.32,-2.77,42.46,288,3.06,2.68
1787165462.267,82,Monopolar_Curved_Scissors,95.81,-7.03,5.06,82,1.18,-17.25
1787165462.613,81,Large_Needle_Driver_Left,84.71,-10.71,23.98,333,2.42,-0.32
1787165462.613,82,Monopolar_Curved_Scissors,85.10,1.71,17.56,356,2.36,9.91
1787165462.718,81,Large_Needle_Driver_Left,81.66,-9.90,19.95,130,0.97,-6.54
1787165462.718,82,Monopolar_Curved_Scissors,82.89,3.88,20.52,205,1.23,-13.94
1787165462.718,83,Monopolar_Curved_Scissors,95.81,-22.82,-10.71,607,3.62,6.95
1787165462.942,81,Large_Needle_Driver_Left,77.53,-9.22,17.87,336,1.56,-0.44
1787165462.942,82,Monopolar_Curved_Scissors,80.25,3.93,21.27,231,2.29,-4.33
1787165462.942,83,Monopolar_Curved_Scissors,95.81,-19.76,-9.42,294,2.64,-5.74
1787165463.199,81,Large_Needle_Driver_Left,76.60,-9.65,16.78,188,1.24,-5.97
1787165463.199,82,Monopolar_Curved_Scissors,79.44,6.36,22.06,217,1.24,-12.39
1787165463.199,83,Monopolar_Curved_Scissors,96.70,-20.93,-7.95,495,4.26,8.26
1787165463.315,81,Bipolar_Forceps,76.96,-9.74,17.62,196,1.17,-1.57
1787165463.315,82,Monopolar_Curved_Scissors,78.37,7.51,22.94,222,1.41,-11.15
1787165463.315,83,Monopolar_Curved_Scissors,96.95,-18.58,-7.00,307,2.68,2.15
1787165463.420,81,Bipolar_Forceps,74.36,-10.05,16.48,209,1.45,-2.51
1787165463.420,82,Monopolar_Curved_Scissors,77.39,8.55,23.74,213,1.41,-11.18
1787165463.420,83,Monopolar_Curved_Scissors,97.04,-16.40,-6.53,264,2.98,2.72
1787165463.520,81,Bipolar_Forceps,77.56,-14.67,19.69,58,1.67,6.65
1787165463.520,83,Monopolar_Curved_Scissors,97.07,-17.53,-3.47,248,5.58,-4.58
1787165463.726,81,Bipolar_Forceps,78.10,-16.01,21.36,221,1.14,13.65
1787165463.726,83,Monopolar_Curved_Scissors,97.10,-18.83,3.46,217,3.25,-6.58
1787165463.726,85,Prograsp_Forceps_Right,94.30,-17.68,26.30,94,1.42,13.48
1787165463.818,81,Bipolar_Forceps,76.75,-16.61,21.00,71,1.05,16.17
1787165463.818,83,Monopolar_Curved_Scissors,97.09,-19.64,5.05,111,2.45,7.73
1787165463.818,85,Prograsp_Forceps_Right,115.63,-23.08,31.18,337,3.92,-1.06
1787165464.022,81,Bipolar_Forceps,73.78,-17.93,20.20,46,0.63,10.88
1787165464.022,83,Monopolar_Curved_Scissors,97.23,-19.38,7.54,55,0.85,-6.47
1787165464.022,85,Prograsp_Forceps_Right,112.16,-23.07,30.18,52,2.35,10.65
1787165464.370,81,Bipolar_Forceps,79.14,-14.31,22.35,297,1.72,14.25
1787165464.370,82,Monopolar_Curved_Scissors,56.90,25.95,12.19,307,2.11,0.92
1787165464.370,83,Monopolar_Curved_Scissors,97.49,-18.92,11.89,599,3.80,1.79
1787165464.370,85,Prograsp_Forceps_Right,106.08,-23.05,28.45,835,3.98,-1.66
1787165464.478,81,Large_Needle_Driver_Left,79.35,-16.06,21.45,210,4.19,7.94
1787165464.478,82,Monopolar_Curved_Scissors,54.90,27.59,12.13,189,2.10,-6.84
1787165464.478,83,Monopolar_Curved_Scissors,103.85,-15.01,14.07,721,5.48,4.87
1787165464.478,85,Prograsp_Forceps_Right,114.51,-24.76,30.06,514,4.31,7.52
1787165464.571,81,Large_Needle_Driver_Left,78.71,-16.40,21.25,404,1.70,0.42
1787165464.571,82,Monopolar_Curved_Scissors,53.04,29.11,12.08,234,1.50,-2.73
1787165464.571,83,Monopolar_Curved_Scissors,98.16,-12.97,13.50,293,1.90,-15.20
1787165464.571,85,Prograsp_Forceps_Right,114.89,-24.33,30.01,51,1.42,15.58
1787165464.667,81,Large_Needle_Driver_Left,78.06,-16.74,21.04,394,1.69,0.03
1787165464.667,82,Monopolar_Curved_Scissors,51.17,30.64,12.02,174,1.56,-2.42
1787165464.667,83,Monopolar_Curved_Scissors,95.58,-13.18,13.16,289,2.43,-14.40
1787165464.667,85,Prograsp_Forceps_Right,114.13,-24.42,29.72,56,1.38,-2.39
1787165464.774,81,UNKNOWN,86.77,-15.10,22.20,1463,4.04,6.59
1787165464.774,82,Monopolar_Curved_Scissors,49.18,32.27,11.96,74,0.60,2.78
1787165464.774,83,Monopolar_Curved_Scissors,95.39,-12.68,14.23,857,2.91,-1.22
1787165464.774,85,Prograsp_Forceps_Right,113.31,-24.51,29.42,417,3.31,-10.89
1787165464.882,81,UNKNOWN,90.28,-11.84,18.79,732,4.91,-0.43
1787165464.882,82,Monopolar_Curved_Scissors,47.17,33.92,11.90,194,0.53,1.04
1787165464.882,83,Monopolar_Curved_Scissors,93.44,-10.36,16.13,772,5.08,2.60
1787165464.882,85,Prograsp_Forceps_Right,112.49,-24.60,29.10,220,2.13,14.10
1787165465.161,81,UNKNOWN,109.14,2.38,14.37,297,3.17,-2.43
1787165465.161,82,Monopolar_Curved_Scissors,41.87,38.26,11.73,66,0.11,6.64
1787165465.161,83,Monopolar_Curved_Scissors,91.59,-6.67,16.58,1076,2.22,0.98
1787165465.161,85,Prograsp_Forceps_Right,110.33,-24.84,28.28,469,2.46,-4.54
1787165465.274,81,Large_Needle_Driver_Left,113.45,7.73,14.90,30,2.69,1.05
1787165465.274,82,Monopolar_Curved_Scissors,39.73,40.02,11.67,34,0.17,15.81
1787165465.274,83,Monopolar_Curved_Scissors,96.65,-7.13,16.57,343,3.70,-2.84
1787165465.274,85,Prograsp_Forceps_Right,109.45,-24.94,27.95,390,3.81,-2.94
1787165465.381,81,Large_Needle_Driver_Left,115.25,11.47,11.15,146,4.61,4.21
1787165465.381,82,Monopolar_Curved_Scissors,37.65,41.71,11.61,26,0.05,18.07
1787165465.381,83,Monopolar_Curved_Scissors,98.47,-4.33,13.38,718,4.94,-4.25
1787165465.381,85,Prograsp_Forceps_Right,108.60,-25.04,27.63,503,2.98,-3.37
1787165465.480,81,Large_Needle_Driver_Left,116.10,11.27,7.06,133,1.60,-12.55
1787165465.480,83,Monopolar_Curved_Scissors,97.51,-3.58,11.39,762,3.70,9.24
1787165465.480,85,Prograsp_Forceps_Right,107.90,-25.11,27.36,774,3.32,-3.30
1787165465.550,81,Bipolar_Forceps,116.44,12.66,8.24,76,1.29,-12.45
1787165465.550,83,Monopolar_Curved_Scissors,95.71,-7.31,14.23,777,3.56,-5.33
1787165465.550,85,Prograsp_Forceps_Right,107.27,-25.19,27.12,717,3.45,-1.74
1787165465.758,81,Large_Needle_Driver_Left,98.92,18.11,5.20,309,3.01,0.00
1787165465.758,83,Monopolar_Curved_Scissors,91.40,-4.21,14.13,678,4.25,-0.75
1787165465.758,85,Prograsp_Forceps_Right,105.77,-25.35,26.55,373,3.30,-3.50
1787165465.956,81,Bipolar_Forceps,110.13,25.46,5.55,77,2.50,-6.09
1787165465.956,83,Monopolar_Curved_Scissors,89.17,-2.02,10.73,1001,3.69,1.85
1787165465.956,85,Prograsp_Forceps_Right,104.16,-25.53,25.94,603,2.91,-3.88
1787165466.076,81,Bipolar_Forceps,113.59,27.02,6.23,27,1.54,5.01
1787165466.076,83,Monopolar_Curved_Scissors,86.39,-4.75,10.23,1110,4.20,2.66
1787165466.172,81,Bipolar_Forceps,115.08,26.94,6.79,28,1.29,-5.34
1787165466.172,83,Monopolar_Curved_Scissors,85.71,-6.73,9.13,1192,3.74,2.10
1787165466.280,83,Monopolar_Curved_Scissors,85.30,-8.10,7.82,1115,5.53,-2.76
1787165466.377,83,Monopolar_Curved_Scissors,84.94,-8.47,6.97,876,3.38,2.65
1787165466.490,81,Bipolar_Forceps,118.72,32.73,4.95,31,1.13,16.53
1787165466.490,83,Monopolar_Curved_Scissors,83.27,-8.42,9.47,901,3.83,3.46
1787165466.588,81,Bipolar_Forceps,119.99,34.74,4.31,87,1.52,15.73
1787165466.588,83,Monopolar_Curved_Scissors,82.97,-9.67,12.30,358,2.89,7.84
1787165466.717,81,Bipolar_Forceps,121.37,36.95,3.61,196,1.95,-14.34
1787165466.717,83,Monopolar_Curved_Scissors,87.93,-10.73,15.19,548,3.47,-1.78
1787165466.887,81,Bipolar_Forceps,123.41,40.19,2.58,249,3.15,-13.09
1787165466.887,83,Monopolar_Curved_Scissors,81.27,-11.96,13.11,87,1.49,10.05
1787165467.040,83,Monopolar_Curved_Scissors,86.45,-12.27,14.22,595,3.93,1.42
1787165467.160,83,Monopolar_Curved_Scissors,91.90,-13.29,16.43,499,4.04,-3.09
1787165467.302,83,Monopolar_Curved_Scissors,94.42,-14.87,14.88,34,0.95,7.73
1787165467.438,83,Monopolar_Curved_Scissors,95.54,-15.19,13.21,33,1.62,-13.91
1787165467.710,86,Large_Needle_Driver_Left,75.17,-0.70,24.24,1274,2.82,-0.71
1787165467.822,86,Large_Needle_Driver_Left,74.60,-1.05,23.27,1408,3.37,0.72
1787165467.959,86,Large_Needle_Driver_Left,74.52,-1.11,23.13,195,1.57,-6.64
1787165468.071,86,Large_Needle_Driver_Left,74.45,-1.17,23.01,374,2.21,-3.92
1787165468.237,86,Large_Needle_Driver_Left,74.36,-1.24,22.85,385,2.13,-3.81
1787165468.381,86,Large_Needle_Driver_Left,93.20,-8.65,7.53,147,2.53,11.70
1787165468.381,87,Bipolar_Forceps,85.09,0.45,3.23,142,1.69,16.07
1787165468.520,87,Large_Needle_Driver_Left,76.17,2.56,9.22,342,2.16,-10.30
1787165468.652,87,Large_Needle_Driver_Left,72.88,6.78,9.68,489,2.26,-9.36
1787165468.806,86,Monopolar_Curved_Scissors,96.98,-8.05,4.54,43,1.03,-18.00
1787165468.806,87,Large_Needle_Driver_Left,71.52,7.00,8.99,437,2.17,-9.00
1787165469.165,87,Large_Needle_Driver_Left,77.25,5.05,19.86,429,2.49,1.28
1787165469.286,86,Monopolar_Curved_Scissors,96.76,-24.70,-12.50,613,3.22,5.35
1787165469.286,87,Large_Needle_Driver_Left,79.31,4.50,21.86,218,1.23,-11.17
1787165469.577,86,Monopolar_Curved_Scissors,96.69,-24.85,-13.64,298,2.34,-0.29
1787165469.740,86,Monopolar_Curved_Scissors,106.29,-25.33,-12.67,375,3.19,-1.97
1787165470.120,86,Monopolar_Curved_Scissors,119.47,-24.82,-12.70,504,3.63,-6.62
1787165470.120,87,Large_Needle_Driver_Left,84.31,3.37,23.25,198,1.44,-11.47
1787165470.295,86,Monopolar_Curved_Scissors,121.71,-26.78,-11.09,538,4.16,-10.20
1787165470.295,87,Large_Needle_Driver_Left,81.25,5.51,22.65,190,1.27,-12.54
1787165470.486,86,Monopolar_Curved_Scissors,132.16,-26.37,-9.54,315,3.62,-7.02
1787165470.486,87,Large_Needle_Driver_Left,80.17,5.55,22.76,251,2.10,7.95
1787165470.679,86,Monopolar_Curved_Scissors,134.15,-24.95,-9.54,355,3.65,11.01
1787165470.679,87,Large_Needle_Driver_Left,78.02,5.91,23.63,226,1.33,-10.32
1787165471.129,86,Monopolar_Curved_Scissors,135.57,-21.99,-9.36,290,2.56,-12.44
1787165471.129,87,Large_Needle_Driver_Left,73.14,6.72,25.60,247,1.30,-7.15
1787165471.129,88,UNKNOWN,119.92,-20.43,33.04,565,3.64,9.20
1787165471.149,86,Monopolar_Curved_Scissors,131.42,-23.32,-5.62,283,2.86,-9.53
1787165471.149,87,Large_Needle_Driver_Left,72.90,6.76,25.70,251,1.32,-6.86
1787165471.149,88,UNKNOWN,100.94,-18.83,27.75,75,2.55,-6.19
1787165471.622,86,Monopolar_Curved_Scissors,132.54,-26.60,5.15,402,4.08,-6.28
1787165471.622,87,Large_Needle_Driver_Left,80.02,-14.80,23.17,58,1.02,13.31
1787165471.622,88,UNKNOWN,85.42,-17.78,25.13,53,0.94,14.23
1787165471.631,86,Monopolar_Curved_Scissors,130.04,-26.69,6.12,413,4.37,-3.94
1787165471.631,87,Large_Needle_Driver_Left,79.98,-14.91,23.18,59,1.03,13.31
1787165471.631,88,UNKNOWN,108.03,-22.29,29.97,39,3.15,4.83
1787165471.726,86,Monopolar_Curved_Scissors,130.79,-27.04,7.04,268,3.53,-4.10
1787165471.726,87,Large_Needle_Driver_Left,79.56,-16.04,23.37,67,0.92,13.22
1787165471.726,88,UNKNOWN,109.68,-23.39,31.25,63,0.85,15.81
1787165472.062,87,UNKNOWN,80.33,-16.76,22.95,25,0.00,-13.45
1787165472.178,87,UNKNOWN,80.48,-14.69,22.93,1014,3.54,2.15
1787165472.178,88,UNKNOWN,116.80,-28.17,36.77,64,1.48,1.25
1787165472.288,86,Monopolar_Curved_Scissors,100.53,-15.18,12.85,1465,6.71,-1.65
1787165472.288,87,UNKNOWN,80.54,-16.46,21.93,1020,4.43,6.93
1787165472.288,88,UNKNOWN,101.77,-22.40,27.50,968,4.09,-6.93
1787165472.384,86,Monopolar_Curved_Scissors,96.85,-13.00,13.04,202,2.79,-13.33
1787165472.384,87,UNKNOWN,80.34,-17.24,21.92,377,1.69,-0.94
1787165472.384,88,UNKNOWN,100.52,-21.53,26.73,113,1.72,3.70
1787165472.637,86,Monopolar_Curved_Scissors,94.74,-13.22,13.12,352,1.98,-14.45
1787165472.637,87,UNKNOWN,90.27,-5.39,9.29,800,2.83,-0.03
1787165472.637,88,UNKNOWN,101.00,-22.56,27.54,171,1.81,-8.51
1787165472.746,86,Monopolar_Curved_Scissors,92.81,-12.53,13.91,479,2.94,-4.84
1787165472.746,87,UNKNOWN,91.01,-4.96,8.14,522,3.22,1.99
1787165472.746,88,UNKNOWN,97.95,-17.20,25.21,666,4.58,-1.56
1787165472.867,86,Monopolar_Curved_Scissors,91.13,-10.06,15.85,899,4.32,4.10
1787165472.867,87,UNKNOWN,91.41,-7.97,13.65,1013,4.41,5.65
1787165472.867,88,UNKNOWN,97.88,-17.16,25.35,591,3.35,-8.09
1787165472.952,86,Monopolar_Curved_Scissors,89.47,-9.31,16.63,755,3.24,5.74
1787165472.952,87,UNKNOWN,94.63,-7.68,13.19,859,4.37,1.06
1787165472.952,88,UNKNOWN,97.82,-17.12,25.47,570,3.66,-1.16
1787165472.952,89,UNKNOWN,93.23,7.22,9.03,1225,4.52,-0.30
1787165473.054,86,Monopolar_Curved_Scissors,87.73,-8.53,17.45,606,3.90,4.23
1787165473.054,87,UNKNOWN,94.51,-7.52,13.90,559,3.85,-1.70
1787165473.054,88,UNKNOWN,97.76,-17.08,25.59,630,4.48,-1.16
1787165473.054,89,UNKNOWN,93.19,7.72,11.27,639,4.93,-0.24
1787165473.152,86,Monopolar_Curved_Scissors,86.08,-7.79,18.24,372,3.25,8.08
1787165473.152,87,UNKNOWN,96.75,-4.85,11.68,555,5.29,-2.37
1787165473.152,88,UNKNOWN,97.70,-17.05,25.70,384,3.89,-0.76
1787165473.152,89,Prograsp_Forceps_Right,96.65,9.52,9.53,891,5.53,-1.39
1787165473.379,86,Monopolar_Curved_Scissors,96.49,4.80,4.51,576,2.44,-7.89
1787165473.379,87,UNKNOWN,90.26,-3.50,9.06,857,2.86,-7.50
1787165473.379,88,UNKNOWN,97.58,-16.97,25.96,989,4.61,-1.32
1787165473.471,86,Monopolar_Curved_Scissors,89.92,11.96,2.74,734,2.66,0.86
1787165473.471,87,Large_Needle_Driver_Left,79.80,-6.32,10.89,775,4.11,6.95
1787165473.471,88,UNKNOWN,97.52,-16.93,26.07,887,4.63,-1.79
1787165473.471,89,Large_Needle_Driver_Left,108.00,10.63,7.71,136,2.06,-6.61
1787165473.699,86,Monopolar_Curved_Scissors,83.70,17.71,3.46,699,2.57,3.76
1787165473.699,87,UNKNOWN,85.07,-3.92,12.33,924,3.82,3.28
1787165473.699,88,UNKNOWN,97.38,-16.85,26.35,665,4.29,-3.32
1787165473.699,89,Large_Needle_Driver_Left,95.23,1.44,11.69,937,3.01,-7.15
1787165473.777,86,Monopolar_Curved_Scissors,110.75,26.16,5.72,59,1.24,-6.30
1787165473.777,87,Large_Needle_Driver_Left,87.42,-2.52,10.29,1002,3.26,2.29
1787165473.777,88,UNKNOWN,97.33,-16.81,26.45,675,4.69,-1.86
1787165473.777,89,Large_Needle_Driver_Left,95.32,0.79,12.11,1058,3.75,-4.75
1787165473.872,87,Large_Needle_Driver_Left,85.03,-4.74,9.78,1093,3.17,4.77
1787165473.872,88,UNKNOWN,97.28,-16.78,26.56,968,5.09,-3.49
1787165473.872,89,Large_Needle_Driver_Left,95.40,0.17,12.52,1234,3.74,-7.07
1787165473.953,87,Large_Needle_Driver_Left,84.27,-6.60,8.70,1144,3.24,4.85
1787165473.953,88,UNKNOWN,97.23,-16.75,26.67,992,5.10,-2.77
1787165473.953,89,Large_Needle_Driver_Left,95.49,-0.51,12.97,1465,4.40,-5.85
1787165474.064,87,Monopolar_Curved_Scissors,84.49,-8.07,7.43,1141,3.59,5.13
1787165474.064,89,Large_Needle_Driver_Left,87.63,4.02,9.78,1658,3.48,0.93
1787165474.143,87,Monopolar_Curved_Scissors,84.89,-8.52,6.72,938,3.37,4.46
1787165474.143,89,Large_Needle_Driver_Left,86.50,4.58,10.40,1082,2.80,0.44
1787165474.256,87,Monopolar_Curved_Scissors,85.11,-8.70,9.42,241,4.41,-4.06
1787165474.256,89,Large_Needle_Driver_Left,85.92,2.66,15.48,268,4.10,4.52
1787165474.366,87,Monopolar_Curved_Scissors,90.04,-10.65,13.20,410,3.25,2.40
1787165474.366,89,Large_Needle_Driver_Left,85.67,0.22,20.99,324,2.82,9.51
1787165474.466,87,Monopolar_Curved_Scissors,93.58,-11.51,15.82,433,3.35,-3.14
1787165474.466,89,Large_Needle_Driver_Left,85.58,-1.04,24.65,273,2.46,10.72
1787165474.713,89,Large_Needle_Driver_Left,77.36,-1.64,24.73,912,2.84,-2.87
1787165474.812,87,Monopolar_Curved_Scissors,96.23,-13.58,17.10,31,2.02,-16.95
1787165474.812,89,Large_Needle_Driver_Left,75.23,-1.61,24.66,981,3.74,-8.38
1787165474.935,87,Monopolar_Curved_Scissors,96.45,-15.00,15.18,28,0.67,-9.96
1787165474.935,89,Large_Needle_Driver_Left,74.32,-1.09,24.63,1073,2.90,0.14
1787165475.167,91,Large_Needle_Driver_Left,77.19,-0.58,24.84,235,1.60,-7.70
1787165475.339,91,Large_Needle_Driver_Left,77.19,-0.73,24.89,76,1.30,-7.61
1787165475.468,91,Large_Needle_Driver_Left,77.19,-1.10,24.05,79,1.04,-6.65
1787165475.583,91,Large_Needle_Driver_Left,77.19,-1.17,23.94,63,1.29,-6.62
1787165475.694,91,Large_Needle_Driver_Left,77.19,-1.23,23.84,345,2.09,-4.00
1787165475.790,91,Large_Needle_Driver_Left,77.19,-1.29,23.75,462,2.05,-4.19
1787165475.790,92,Bipolar_Forceps,107.58,-2.41,-1.75,61,0.66,16.92
1787165475.891,91,Large_Needle_Driver_Left,77.19,-1.35,23.66,393,2.21,-3.73
1787165475.891,92,Bipolar_Forceps,89.98,0.18,2.42,104,1.18,17.15
1787165475.995,91,Large_Needle_Driver_Left,77.19,2.98,13.72,395,2.43,6.02
1787165475.995,92,Monopolar_Curved_Scissors,92.12,-4.76,2.71,101,1.63,14.39
1787165476.002,91,Large_Needle_Driver_Left,77.19,6.04,11.44,385,2.55,-8.34
1787165476.002,92,Monopolar_Curved_Scissors,93.51,-4.96,4.14,119,1.94,13.82
1787165476.105,91,Large_Needle_Driver_Left,77.19,6.62,8.87,302,1.68,-9.94
1787165476.105,92,Monopolar_Curved_Scissors,93.80,-6.90,5.56,47,1.59,-16.27
1787165476.441,92,Monopolar_Curved_Scissors,101.60,-24.78,-11.09,571,3.84,-0.65
1787165476.800,91,Large_Needle_Driver_Left,82.21,5.38,19.83,215,1.37,-14.24
1787165476.800,92,Monopolar_Curved_Scissors,94.23,-23.06,-10.15,611,5.17,8.96
1787165476.990,91,Large_Needle_Driver_Left,85.61,4.00,22.44,167,1.38,-13.20
1787165476.990,92,Monopolar_Curved_Scissors,92.56,-23.48,-9.02,324,3.09,-2.48
1787165477.175,91,Large_Needle_Driver_Left,86.70,4.07,23.01,112,1.08,-12.61
1787165477.175,92,Monopolar_Curved_Scissors,92.06,-20.11,-6.94,216,1.89,0.78
1787165477.263,91,Large_Needle_Driver_Left,87.27,4.14,23.30,125,1.23,-12.91
1787165477.263,92,Monopolar_Curved_Scissors,92.04,-17.20,-6.58,305,3.20,-1.03
1787165477.371,91,Large_Needle_Driver_Left,87.83,4.21,23.59,26,0.70,15.66
1787165477.371,92,Monopolar_Curved_Scissors,92.02,-17.83,-3.65,376,2.28,-12.86
1787165477.371,93,Prograsp_Forceps_Right,102.99,-19.75,27.83,96,1.32,9.98
1787165477.590,91,Large_Needle_Driver_Left,87.19,-13.19,24.53,33,0.60,13.81
1787165477.590,92,Monopolar_Curved_Scissors,91.96,-18.96,2.47,119,1.28,-13.38
1787165477.590,93,UNKNOWN,90.68,-18.12,25.36,52,0.77,12.37
1787165477.690,91,Large_Needle_Driver_Left,87.64,-14.59,24.87,26,0.82,11.47
1787165477.690,93,Prograsp_Forceps_Right,115.14,-23.46,31.06,358,5.47,0.02
1787165477.785,91,Large_Needle_Driver_Left,88.09,-15.97,25.21,74,0.99,-12.82
1787165477.785,92,Monopolar_Curved_Scissors,91.59,-19.88,5.20,78,1.07,7.58
1787165477.785,93,Prograsp_Forceps_Right,115.77,-23.84,31.20,120,1.74,0.33
1787165478.252,91,Large_Needle_Driver_Left,86.98,-18.03,23.61,1546,3.37,-1.82
1787165478.252,92,Monopolar_Curved_Scissors,92.92,-14.18,12.15,1538,3.68,0.68
1787165478.252,93,Prograsp_Forceps_Right,116.33,-25.09,30.58,144,1.94,0.24
1787165478.372,91,Large_Needle_Driver_Left,87.24,-19.31,23.72,490,1.57,8.81
1787165478.372,92,Monopolar_Curved_Scissors,100.42,-13.54,13.60,303,1.86,8.24
1787165478.612,91,UNKNOWN,98.36,-6.07,10.08,485,3.63,9.41
1787165478.612,92,Monopolar_Curved_Scissors,103.90,-14.76,14.22,156,1.54,-16.49
1787165478.700,91,UNKNOWN,99.29,-5.91,9.20,549,1.51,-7.43
